Marka,Model,Nazwa części,Cena zakupu [zł],Średnia cena rynkowa,Ilość aukcji na rynku,Popyt
AUDI,A6,Wtrysk bezpośredni paliwa,199,214,509,750
Volksvagen,Golf 7,Wtrysk bezpośredni paliwa,164,190,507,590
Opel,Insignia,Wtrysk bezpośredni paliwa,245,268,620,720
Skoda,Fabia,Wtrysk bezpośredni paliwa,106,120,822,1000
Mazda,mx5,Wtrysk bezpośredni paliwa,202,223,777,880
Toyota,Corolla,Wtrysk bezpośredni paliwa,106,127,1194,820
Fiat,Panda,Wtrysk bezpośredni paliwa,108,143,947,540
Alfa Romeo,Gulia,Wtrysk bezpośredni paliwa,283,305,743,1460
Chevrolet,Camaro,Wtrysk bezpośredni paliwa,212,237,414,1300
BMW,e46,Tarcza hamulcowa,160,180,562,780
AUDI,A6,Tarcza hamulcowa,115,147,708,700
Volksvagen,Golf 7,Tarcza hamulcowa,181,210,610,850
Opel,Insignia,Tarcza hamulcowa,174,206,569,660
Skoda,Fabia,Tarcza hamulcowa,113,144,790,750
Mazda,mx5,Tarcza hamulcowa,146,173,696,780
Toyota,Corolla,Tarcza hamulcowa,189,219,618,790
Fiat,Panda,Tarcza hamulcowa,145,159,766,780
Alfa Romeo,Gulia,Tarcza hamulcowa,142,161,556,690
Chevrolet,Camaro,Tarcza hamulcowa,76,98,790,900
BMW,e46,Sprężyna przednia,244,279,681,830
AUDI,A6,Sprężyna przednia,225,252,692,900
Volksvagen,Golf 7,Sprężyna przednia,79,91,574,490
Opel,Insignia,Sprężyna przednia,214,245,635,580
Skoda,Fabia,Sprężyna przednia,231,263,537,660
Mazda,mx5,Sprężyna przednia,115,147,759,600
Toyota,Corolla,Sprężyna przednia,179,203,605,780
Fiat,Panda,Sprężyna przednia,173,223,789,810
Alfa Romeo,Gulia,Sprężyna przednia,196,215,662,830
Chevrolet,Camaro,Sprężyna przednia,83,103,501,800
BMW,e46,Filtr oleju,56,66,1089,1380
AUDI,A6,Filtr oleju,32,52,1064,1900
Volksvagen,Golf 7,Filtr oleju,63,71,1265,1530
Opel,Insignia,Filtr oleju,51,66,1264,1740
Skoda,Fabia,Filtr oleju,54,69,1452,1350
Mazda,mx5,Filtr oleju,38,49,1038,1570
Toyota,Corolla,Filtr oleju,59,69,1282,1420
Fiat,Panda,Filtr oleju,57,71,1430,1190
Alfa Romeo,Gulia,Filtr oleju,57,65,1390,1350
Chevrolet,Camaro,Filtr oleju,82,92,1015,1370
BMW,e46,Chłodnica,1722,1891,45,40
AUDI,A6,Chłodnica,1079,1200,37,20
Volksvagen,Golf 7,Chłodnica,1549,1748,25,30
Opel,Insignia,Chłodnica,1566,1727,37,40
Skoda,Fabia,Chłodnica,1191,1267,42,20
Mazda,mx5,Chłodnica,1410,1495,26,50
Toyota,Corolla,Chłodnica,1834,1921,40,30
Fiat,Panda,Chłodnica,1288,1427,29,40
Alfa Romeo,Gulia,Chłodnica,1421,1503,14,50
Chevrolet,Camaro,Chłodnica,1518,1695,28,40
