Marka,Model,Nazwa części,Cena zakupu [zł],Średnia cena rynkowa,Ilość aukcji na rynku,Popyt
BMW,E39,Sprzęgło dwumasowe,384,425,470,320
BMW,E39,Wtrysk bezpośredni paliwa,119,149,805,900
BMW,E39,Tarcza hamulcowa,80,105,756,740
BMW,E39,Sprężyna przednia,78,122,702,450
BMW,E39,Filtr oleju,61,71,1033,1850
BMW,E39,Chłodnica,1550,1739,9,40
BMW,G20,Wahacz przedni,533,551,378,520
BMW,G20,Amortyzator tylni,373,402,286,560
BMW,G20,Klocki hamulcowe,191,200,508,1020
BMW,G20,Maglownica,250,276,188,330
BMW,G20,Sprzęgło dwumasowe,552,566,452,310
BMW,G20,Wtrysk bezpośredni paliwa,265,288,1095,1290
BMW,G20,Tarcza hamulcowa,155,174,689,830
BMW,G20,Sprężyna przednia,110,143,695,750
BMW,G20,Filtr oleju,51,70,1230,1480
BMW,G20,Chłodnica,1589,1694,38,30
BMW,X1,Wahacz przedni,387,407,338,300
BMW,X1,Amortyzator tylni,366,397,271,560
BMW,X1,Klocki hamulcowe,178,196,472,680
BMW,X1,Maglownica,304,328,124,220
BMW,X1,Sprzęgło dwumasowe,667,714,236,400
BMW,X1,Wtrysk bezpośredni paliwa,253,274,1107,840
BMW,X1,Tarcza hamulcowa,156,185,695,710
BMW,X1,Sprężyna przednia,182,195,549,600
BMW,X1,Filtr oleju,39,45,1042,1510
BMW,X1,Chłodnica,1987,2168,17,30
BMW,X2,Wahacz przedni,353,382,274,540
BMW,X2,Amortyzator tylni,465,485,345,360
BMW,X2,Klocki hamulcowe,105,114,686,1070
BMW,X2,Maglownica,468,502,166,340
BMW,X2,Sprzęgło dwumasowe,584,603,258,420
BMW,X2,Wtrysk bezpośredni paliwa,296,323,1156,580
BMW,X2,Tarcza hamulcowa,155,165,697,720
BMW,X2,Sprężyna przednia,224,237,575,520
BMW,X2,Filtr oleju,74,91,1106,1010
BMW,X2,Chłodnica,1234,1309,15,50
BMW,E36,Wahacz przedni,476,501,301,510
BMW,E36,Amortyzator tylni,334,352,291,300
BMW,E36,Klocki hamulcowe,136,151,452,510
BMW,E36,Maglownica,476,494,279,330
BMW,E36,Sprzęgło dwumasowe,419,455,328,470
BMW,E36,Wtrysk bezpośredni paliwa,197,211,977,1090
BMW,E36,Tarcza hamulcowa,81,91,658,880
BMW,E36,Sprężyna przednia,77,124,800,740
BMW,E36,Filtr oleju,90,104,1058,1910
BMW,E36,Chłodnica,1251,1368,40,30
AUDI,A1,Wahacz przedni,576,589,312,760
AUDI,A1,Amortyzator tylni,320,348,273,740
AUDI,A1,Klocki hamulcowe,120,125,619,630
AUDI,A1,Maglownica,474,509,171,220
AUDI,A1,Sprzęgło dwumasowe,341,352,429,430
AUDI,A1,Wtrysk bezpośredni paliwa,245,280,1006,1410
AUDI,A1,Tarcza hamulcowa,167,183,536,610
AUDI,A1,Sprężyna przednia,250,281,741,460
AUDI,A1,Filtr oleju,69,77,1054,1500
AUDI,A1,Chłodnica,1837,1970,7,50
AUDI,Q3,Wahacz przedni,316,341,339,720
AUDI,Q3,Amortyzator tylni,434,467,271,730
AUDI,Q3,Klocki hamulcowe,190,203,667,810
AUDI,Q3,Maglownica,260,309,121,150
AUDI,Q3,Sprzęgło dwumasowe,598,608,201,320
AUDI,Q3,Wtrysk bezpośredni paliwa,140,151,987,1120
AUDI,Q3,Tarcza hamulcowa,145,158,789,740
AUDI,Q3,Sprężyna przednia,136,176,526,430
AUDI,Q3,Filtr oleju,42,62,1008,1800
AUDI,Q3,Chłodnica,1116,1184,14,20
AUDI,TT,Wahacz przedni,442,467,353,590
AUDI,TT,Amortyzator tylni,482,513,343,660
AUDI,TT,Klocki hamulcowe,120,134,407,660
AUDI,TT,Maglownica,405,439,134,200
AUDI,TT,Sprzęgło dwumasowe,480,490,395,470
AUDI,TT,Wtrysk bezpośredni paliwa,298,322,681,1150
AUDI,TT,Tarcza hamulcowa,116,127,649,840
AUDI,TT,Sprężyna przednia,229,244,738,840
AUDI,TT,Filtr oleju,31,40,1476,1530
AUDI,TT,Chłodnica,1528,1618,25,50
AUDI,R8,Wahacz przedni,545,556,313,560
AUDI,R8,Amortyzator tylni,472,496,255,740
AUDI,R8,Klocki hamulcowe,51,66,466,950
AUDI,R8,Maglownica,347,373,109,100
AUDI,R8,Sprzęgło dwumasowe,396,440,254,390
AUDI,R8,Wtrysk bezpośredni paliwa,217,246,1000,1420
AUDI,R8,Tarcza hamulcowa,179,198,572,840
AUDI,R8,Sprężyna przednia,77,123,577,420
AUDI,R8,Filtr oleju,66,75,1195,1450
AUDI,R8,Chłodnica,1049,1197,28,50
AUDI,A6,Wahacz przedni,206,232,253,680
AUDI,A6,Amortyzator tylni,446,473,251,670
AUDI,A6,Klocki hamulcowe,67,86,460,690
AUDI,A6,Maglownica,325,356,292,240
AUDI,A6,Sprzęgło dwumasowe,638,650,411,330
AUDI,A6,Wtrysk bezpośredni paliwa,235,254,644,1250
AUDI,A6,Tarcza hamulcowa,142,156,769,880
AUDI,A6,Sprężyna przednia,102,122,782,570
AUDI,A6,Filtr oleju,51,60,1167,1490
AUDI,A6,Chłodnica,1510,1705,18,20
AUDI,Q7,Wahacz przedni,209,221,337,290
AUDI,Q7,Amortyzator tylni,322,338,312,610
AUDI,Q7,Klocki hamulcowe,125,142,613,760
AUDI,Q7,Maglownica,475,499,131,230
AUDI,Q7,Sprzęgło dwumasowe,491,507,240,330
AUDI,Q7,Wtrysk bezpośredni paliwa,195,225,511,1020
AUDI,Q7,Tarcza hamulcowa,123,154,760,770
AUDI,Q7,Sprężyna przednia,137,165,587,800
AUDI,Q7,Filtr oleju,81,89,1214,1720
AUDI,Q7,Chłodnica,1341,1508,37,50
AUDI,A3,Wahacz przedni,290,300,379,550
AUDI,A3,Amortyzator tylni,464,498,299,260
AUDI,A3,Klocki hamulcowe,173,184,592,1120
AUDI,A3,Maglownica,419,453,187,190
AUDI,A3,Sprzęgło dwumasowe,645,694,406,350
AUDI,A3,Wtrysk bezpośredni paliwa,169,203,1091,930
AUDI,A3,Tarcza hamulcowa,100,118,713,880
AUDI,A3,Sprężyna przednia,202,231,644,890
AUDI,A3,Filtr oleju,80,86,1250,1300
AUDI,A3,Chłodnica,1639,1723,39,20
AUDI,80,Wahacz przedni,429,454,263,310
AUDI,80,Amortyzator tylni,428,434,321,590
AUDI,80,Klocki hamulcowe,108,128,400,590
AUDI,80,Maglownica,334,345,221,330
AUDI,80,Sprzęgło dwumasowe,459,498,361,460
AUDI,80,Wtrysk bezpośredni paliwa,275,310,1045,820
AUDI,80,Tarcza hamulcowa,106,131,627,820
AUDI,80,Sprężyna przednia,222,255,781,900
AUDI,80,Filtr oleju,80,90,1302,1050
AUDI,80,Chłodnica,1597,1667,40,30
AUDI,A7,Wahacz przedni,237,255,284,480
AUDI,A7,Amortyzator tylni,489,515,264,480
AUDI,A7,Klocki hamulcowe,67,76,642,640
AUDI,A7,Maglownica,236,251,243,380
AUDI,A7,Sprzęgło dwumasowe,418,466,493,350
AUDI,A7,Wtrysk bezpośredni paliwa,172,193,636,780
AUDI,A7,Tarcza hamulcowa,154,167,662,760
AUDI,A7,Sprężyna przednia,121,162,593,550
AUDI,A7,Filtr oleju,36,48,1251,1600
AUDI,A7,Chłodnica,1792,1949,38,10
AUDI,Q5,Wahacz przedni,362,373,367,510
AUDI,Q5,Amortyzator tylni,301,322,292,660
AUDI,Q5,Klocki hamulcowe,68,86,510,910
AUDI,Q5,Maglownica,254,286,270,170
AUDI,Q5,Sprzęgło dwumasowe,667,700,309,380
AUDI,Q5,Wtrysk bezpośredni paliwa,126,141,1029,1280
AUDI,Q5,Tarcza hamulcowa,182,207,523,670
AUDI,Q5,Sprężyna przednia,104,150,698,580
AUDI,Q5,Filtr oleju,53,66,1447,1500
AUDI,Q5,Chłodnica,1531,1696,49,10
Volksvagen,Golf,Wahacz przedni,470,487,299,430
Volksvagen,Golf,Amortyzator tylni,368,379,295,570
Volksvagen,Golf,Klocki hamulcowe,189,205,541,1120
Volksvagen,Golf,Maglownica,327,344,156,240
Volksvagen,Golf,Sprzęgło dwumasowe,492,504,317,320
Volksvagen,Golf,Wtrysk bezpośredni paliwa,179,213,937,1120
Volksvagen,Golf,Tarcza hamulcowa,127,162,513,790
Volksvagen,Golf,Sprężyna przednia,212,249,559,620
Volksvagen,Golf,Filtr oleju,50,63,1377,1030
Volksvagen,Golf,Chłodnica,1018,1085,23,40
Volksvagen,Polo,Wahacz przedni,272,286,349,300
Volksvagen,Polo,Amortyzator tylni,463,470,325,410
Volksvagen,Polo,Klocki hamulcowe,149,156,681,700
Volksvagen,Polo,Maglownica,221,263,164,340
Volksvagen,Polo,Sprzęgło dwumasowe,668,709,458,490
Volksvagen,Polo,Wtrysk bezpośredni paliwa,202,234,580,730
Volksvagen,Polo,Tarcza hamulcowa,133,149,546,690
Volksvagen,Polo,Sprężyna przednia,138,158,743,460
Volksvagen,Polo,Filtr oleju,37,50,1132,1290
Volksvagen,Polo,Chłodnica,1874,2071,40,20
Volksvagen,Arteon,Wahacz przedni,495,516,336,700
Volksvagen,Arteon,Amortyzator tylni,323,345,323,600
Volksvagen,Arteon,Klocki hamulcowe,188,205,634,560
Volksvagen,Arteon,Maglownica,403,441,101,140
Volksvagen,Arteon,Sprzęgło dwumasowe,539,569,373,400
Volksvagen,Arteon,Wtrysk bezpośredni paliwa,116,141,440,610
Volksvagen,Arteon,Tarcza hamulcowa,177,198,713,610
Volksvagen,Arteon,Sprężyna przednia,119,142,653,700
Volksvagen,Arteon,Filtr oleju,35,46,1320,1800
Volksvagen,Arteon,Chłodnica,1992,2115,9,40
Volksvagen,Passat,Wahacz przedni,214,244,251,260
Volksvagen,Passat,Amortyzator tylni,321,347,315,760
Volksvagen,Passat,Klocki hamulcowe,121,134,613,1130
Volksvagen,Passat,Maglownica,232,251,148,220
Volksvagen,Passat,Sprzęgło dwumasowe,431,470,430,460
Volksvagen,Passat,Wtrysk bezpośredni paliwa,283,293,1099,1320
Volksvagen,Passat,Tarcza hamulcowa,180,197,628,650
Volksvagen,Passat,Sprężyna przednia,141,166,766,420
Volksvagen,Passat,Filtr oleju,66,83,1252,1160
Volksvagen,Passat,Chłodnica,1710,1760,11,10
Volksvagen,Transporter,Wahacz przedni,262,275,336,370
Volksvagen,Transporter,Amortyzator tylni,446,454,343,360
Volksvagen,Transporter,Klocki hamulcowe,183,195,586,580
Volksvagen,Transporter,Maglownica,207,241,236,140
Volksvagen,Transporter,Sprzęgło dwumasowe,542,591,239,220
Volksvagen,Transporter,Wtrysk bezpośredni paliwa,101,129,612,610
Volksvagen,Transporter,Tarcza hamulcowa,198,209,704,860
Volksvagen,Transporter,Sprężyna przednia,246,287,776,650
Volksvagen,Transporter,Filtr oleju,88,100,1182,1970
Volksvagen,Transporter,Chłodnica,1056,1208,12,20
Volksvagen,Amarok,Wahacz przedni,476,499,271,670
Volksvagen,Amarok,Amortyzator tylni,357,386,391,450
Volksvagen,Amarok,Klocki hamulcowe,163,180,651,840
Volksvagen,Amarok,Maglownica,346,369,257,300
Volksvagen,Amarok,Sprzęgło dwumasowe,435,471,361,310
Volksvagen,Amarok,Wtrysk bezpośredni paliwa,232,254,588,880
Volksvagen,Amarok,Tarcza hamulcowa,185,209,723,840
Volksvagen,Amarok,Sprężyna przednia,206,227,729,420
Volksvagen,Amarok,Filtr oleju,30,36,1194,1950
Volksvagen,Amarok,Chłodnica,1775,1914,31,30
Volksvagen,Lupo,Wahacz przedni,337,355,279,400
Volksvagen,Lupo,Amortyzator tylni,349,382,353,270
Volksvagen,Lupo,Klocki hamulcowe,124,129,424,700
Volksvagen,Lupo,Maglownica,460,480,215,150
Volksvagen,Lupo,Sprzęgło dwumasowe,618,635,279,320
Volksvagen,Lupo,Wtrysk bezpośredni paliwa,160,182,892,550
Volksvagen,Lupo,Tarcza hamulcowa,99,122,535,810
Volksvagen,Lupo,Sprężyna przednia,184,211,524,670
Volksvagen,Lupo,Filtr oleju,82,102,1306,1060
Volksvagen,Lupo,Chłodnica,1039,1156,29,40
Volksvagen,Multivan,Wahacz przedni,381,392,334,470
Volksvagen,Multivan,Amortyzator tylni,494,525,321,480
Volksvagen,Multivan,Klocki hamulcowe,149,162,446,860
Volksvagen,Multivan,Maglownica,310,329,125,260
Volksvagen,Multivan,Sprzęgło dwumasowe,438,455,231,290
Volksvagen,Multivan,Wtrysk bezpośredni paliwa,120,138,599,1180
Volksvagen,Multivan,Tarcza hamulcowa,107,138,701,610
Volksvagen,Multivan,Sprężyna przednia,168,209,503,460
Volksvagen,Multivan,Filtr oleju,85,96,1166,1150
Volksvagen,Multivan,Chłodnica,1048,1171,28,30
Volksvagen,T-roc,Wahacz przedni,313,343,328,600
Volksvagen,T-roc,Amortyzator tylni,477,507,282,260
Volksvagen,T-roc,Klocki hamulcowe,60,73,667,1180
Volksvagen,T-roc,Maglownica,473,486,153,250
Volksvagen,T-roc,Sprzęgło dwumasowe,319,365,282,470
Volksvagen,T-roc,Wtrysk bezpośredni paliwa,290,305,582,1250
Volksvagen,T-roc,Tarcza hamulcowa,166,195,611,880
Volksvagen,T-roc,Sprężyna przednia,217,245,695,610
Volksvagen,T-roc,Filtr oleju,71,80,1467,1840
Volksvagen,T-roc,Chłodnica,1993,2160,41,40
Volksvagen,Touareg,Wahacz przedni,394,406,317,780
Volksvagen,Touareg,Amortyzator tylni,449,477,360,710
Volksvagen,Touareg,Klocki hamulcowe,97,111,662,600
Volksvagen,Touareg,Maglownica,460,502,147,300
Volksvagen,Touareg,Sprzęgło dwumasowe,382,426,265,250
Volksvagen,Touareg,Wtrysk bezpośredni paliwa,128,140,906,1480
Volksvagen,Touareg,Tarcza hamulcowa,193,203,692,820
Volksvagen,Touareg,Sprężyna przednia,84,114,799,420
Volksvagen,Touareg,Filtr oleju,48,68,1199,1490
Volksvagen,Touareg,Chłodnica,1484,1541,24,50
Opel,Astra,Wahacz przedni,214,233,301,640
Opel,Astra,Amortyzator tylni,405,425,338,390
Opel,Astra,Klocki hamulcowe,151,165,478,1150
Opel,Astra,Maglownica,440,486,175,200
Opel,Astra,Sprzęgło dwumasowe,687,714,395,290
Opel,Astra,Wtrysk bezpośredni paliwa,134,169,692,770
Opel,Astra,Tarcza hamulcowa,171,184,616,750
Opel,Astra,Sprężyna przednia,167,196,764,720
Opel,Astra,Filtr oleju,31,43,1472,1090
Opel,Astra,Chłodnica,1306,1461,7,30
Opel,Omega,Wahacz przedni,442,453,338,730
Opel,Omega,Amortyzator tylni,470,485,337,460
Opel,Omega,Klocki hamulcowe,184,203,765,1000
Opel,Omega,Maglownica,221,268,100,300
Opel,Omega,Sprzęgło dwumasowe,613,639,238,480
Opel,Omega,Wtrysk bezpośredni paliwa,120,134,480,650
Opel,Omega,Tarcza hamulcowa,118,144,778,700
Opel,Omega,Sprężyna przednia,114,141,791,570
Opel,Omega,Filtr oleju,62,69,1252,1740
Opel,Omega,Chłodnica,1871,1941,47,40
Opel,Corsa,Wahacz przedni,479,509,287,700
Opel,Corsa,Amortyzator tylni,356,378,306,630
Opel,Corsa,Klocki hamulcowe,112,121,519,970
Opel,Corsa,Maglownica,391,441,293,160
Opel,Corsa,Sprzęgło dwumasowe,310,337,454,360
Opel,Corsa,Wtrysk bezpośredni paliwa,227,254,911,870
Opel,Corsa,Tarcza hamulcowa,91,118,666,900
Opel,Corsa,Sprężyna przednia,90,139,688,440
Opel,Corsa,Filtr oleju,53,62,1298,1120
Opel,Corsa,Chłodnica,1903,1992,26,20
Opel,Mokka,Wahacz przedni,455,472,254,770
Opel,Mokka,Amortyzator tylni,399,407,269,570
Opel,Mokka,Klocki hamulcowe,123,134,718,740
Opel,Mokka,Maglownica,325,347,294,360
Opel,Mokka,Sprzęgło dwumasowe,522,542,351,400
Opel,Mokka,Wtrysk bezpośredni paliwa,265,287,597,1200
Opel,Mokka,Tarcza hamulcowa,193,228,613,680
Opel,Mokka,Sprężyna przednia,150,165,591,850
Opel,Mokka,Filtr oleju,35,51,1082,1680
Opel,Mokka,Chłodnica,1625,1690,30,40
Opel,Vectra,Wahacz przedni,591,616,400,370
Opel,Vectra,Amortyzator tylni,380,398,275,550
Opel,Vectra,Klocki hamulcowe,158,167,624,810
Opel,Vectra,Maglownica,220,250,290,200
Opel,Vectra,Sprzęgło dwumasowe,598,634,243,220
Opel,Vectra,Wtrysk bezpośredni paliwa,188,209,1177,610
Opel,Vectra,Tarcza hamulcowa,87,110,788,820
Opel,Vectra,Sprężyna przednia,247,288,762,470
Opel,Vectra,Filtr oleju,80,92,1404,1550
Opel,Vectra,Chłodnica,1796,1945,10,30
Opel,Zafira,Wahacz przedni,225,236,394,500
Opel,Zafira,Amortyzator tylni,302,334,350,520
Opel,Zafira,Klocki hamulcowe,72,83,716,1100
Opel,Zafira,Maglownica,225,235,282,360
Opel,Zafira,Sprzęgło dwumasowe,417,438,236,220
Opel,Zafira,Wtrysk bezpośredni paliwa,248,273,578,1010
Opel,Zafira,Tarcza hamulcowa,141,160,672,890
Opel,Zafira,Sprężyna przednia,219,235,746,580
Opel,Zafira,Filtr oleju,47,54,1498,1460
Opel,Zafira,Chłodnica,1762,1951,43,30
Opel,Karl,Wahacz przedni,413,426,398,300
Opel,Karl,Amortyzator tylni,437,450,392,750
Opel,Karl,Klocki hamulcowe,135,150,547,790
Opel,Karl,Maglownica,390,428,186,160
Opel,Karl,Sprzęgło dwumasowe,577,608,219,280
Opel,Karl,Wtrysk bezpośredni paliwa,278,301,506,630
Opel,Karl,Tarcza hamulcowa,159,178,713,790
Opel,Karl,Sprężyna przednia,201,230,715,700
Opel,Karl,Filtr oleju,88,94,1307,1870
Opel,Karl,Chłodnica,1926,2081,15,40
Opel,Calibra,Wahacz przedni,271,297,383,580
Opel,Calibra,Amortyzator tylni,304,314,317,570
Opel,Calibra,Klocki hamulcowe,145,153,593,770
Opel,Calibra,Maglownica,499,517,199,340
Opel,Calibra,Sprzęgło dwumasowe,435,451,439,490
Opel,Calibra,Wtrysk bezpośredni paliwa,150,176,649,990
Opel,Calibra,Tarcza hamulcowa,97,118,618,790
Opel,Calibra,Sprężyna przednia,143,167,601,430
Opel,Calibra,Filtr oleju,47,55,1187,1120
Opel,Calibra,Chłodnica,1431,1555,27,20
Opel,Insignia,Wahacz przedni,218,233,284,530
Opel,Insignia,Amortyzator tylni,329,350,309,640
Opel,Insignia,Klocki hamulcowe,104,120,596,610
Opel,Insignia,Maglownica,397,408,224,220
Opel,Insignia,Sprzęgło dwumasowe,622,653,481,310
Opel,Insignia,Wtrysk bezpośredni paliwa,186,205,1098,700
Opel,Insignia,Tarcza hamulcowa,101,113,673,760
Opel,Insignia,Sprężyna przednia,198,242,619,860
Opel,Insignia,Filtr oleju,82,92,1479,1620
Opel,Insignia,Chłodnica,1016,1200,50,50
Opel,Meriva,Wahacz przedni,433,459,332,250
Opel,Meriva,Amortyzator tylni,409,418,340,270
Opel,Meriva,Klocki hamulcowe,154,169,769,810
Opel,Meriva,Maglownica,405,420,221,290
Opel,Meriva,Sprzęgło dwumasowe,359,388,334,500
Opel,Meriva,Wtrysk bezpośredni paliwa,101,118,460,690
Opel,Meriva,Tarcza hamulcowa,139,152,667,640
Opel,Meriva,Sprężyna przednia,100,129,754,720
Opel,Meriva,Filtr oleju,75,89,1228,2000
Opel,Meriva,Chłodnica,1165,1325,50,10
Skoda,Fabia,Wahacz przedni,572,588,279,510
Skoda,Fabia,Amortyzator tylni,430,456,383,570
Skoda,Fabia,Klocki hamulcowe,86,93,557,850
Skoda,Fabia,Maglownica,310,334,292,290
Skoda,Fabia,Sprzęgło dwumasowe,335,348,236,270
Skoda,Fabia,Wtrysk bezpośredni paliwa,175,205,1138,950
Skoda,Fabia,Tarcza hamulcowa,200,212,682,770
Skoda,Fabia,Sprężyna przednia,121,160,530,490
Skoda,Fabia,Filtr oleju,30,40,1440,1950
Skoda,Fabia,Chłodnica,1173,1334,38,50
Skoda,Kodiaq,Wahacz przedni,247,262,283,260
Skoda,Kodiaq,Amortyzator tylni,378,392,398,390
Skoda,Kodiaq,Klocki hamulcowe,199,218,435,970
Skoda,Kodiaq,Maglownica,309,342,124,260
Skoda,Kodiaq,Sprzęgło dwumasowe,347,393,201,280
Skoda,Kodiaq,Wtrysk bezpośredni paliwa,208,223,468,540
Skoda,Kodiaq,Tarcza hamulcowa,85,107,768,640
Skoda,Kodiaq,Sprężyna przednia,207,250,514,750
Skoda,Kodiaq,Filtr oleju,55,60,1354,1140
Skoda,Kodiaq,Chłodnica,1419,1495,29,10
Skoda,Kamiq,Wahacz przedni,290,302,399,320
Skoda,Kamiq,Amortyzator tylni,353,363,266,320
Skoda,Kamiq,Klocki hamulcowe,193,202,691,640
Skoda,Kamiq,Maglownica,425,470,145,350
Skoda,Kamiq,Sprzęgło dwumasowe,416,451,320,210
Skoda,Kamiq,Wtrysk bezpośredni paliwa,102,114,986,840
Skoda,Kamiq,Tarcza hamulcowa,174,195,789,750
Skoda,Kamiq,Sprężyna przednia,124,149,537,590
Skoda,Kamiq,Filtr oleju,57,70,1296,1330
Skoda,Kamiq,Chłodnica,1085,1161,15,20
Skoda,Octavia,Wahacz przedni,511,535,297,590
Skoda,Octavia,Amortyzator tylni,307,324,307,660
Skoda,Octavia,Klocki hamulcowe,145,164,453,930
Skoda,Octavia,Maglownica,426,459,243,370
Skoda,Octavia,Sprzęgło dwumasowe,504,542,497,290
Skoda,Octavia,Wtrysk bezpośredni paliwa,163,185,498,720
Skoda,Octavia,Tarcza hamulcowa,111,130,616,830
Skoda,Octavia,Sprężyna przednia,106,118,706,860
Skoda,Octavia,Filtr oleju,80,86,1332,1670
Skoda,Octavia,Chłodnica,1072,1270,33,20
Skoda,Superb,Wahacz przedni,558,574,337,670
Skoda,Superb,Amortyzator tylni,386,408,263,580
Skoda,Superb,Klocki hamulcowe,139,146,444,830
Skoda,Superb,Maglownica,319,349,193,140
Skoda,Superb,Sprzęgło dwumasowe,515,525,386,460
Skoda,Superb,Wtrysk bezpośredni paliwa,279,296,658,1100
Skoda,Superb,Tarcza hamulcowa,78,93,556,840
Skoda,Superb,Sprężyna przednia,79,89,687,470
Skoda,Superb,Filtr oleju,59,77,1236,1230
Skoda,Superb,Chłodnica,1972,2159,49,50
Skoda,Scala,Wahacz przedni,244,267,272,470
Skoda,Scala,Amortyzator tylni,321,346,290,700
Skoda,Scala,Klocki hamulcowe,120,128,542,660
Skoda,Scala,Maglownica,323,351,232,400
Skoda,Scala,Sprzęgło dwumasowe,551,569,293,420
Skoda,Scala,Wtrysk bezpośredni paliwa,196,219,681,1240
Skoda,Scala,Tarcza hamulcowa,118,128,542,840
Skoda,Scala,Sprężyna przednia,121,136,710,460
Skoda,Scala,Filtr oleju,35,42,1262,1230
Skoda,Scala,Chłodnica,1308,1432,50,20
Skoda,Citigo,Wahacz przedni,270,300,298,340
Skoda,Citigo,Amortyzator tylni,346,364,261,640
Skoda,Citigo,Klocki hamulcowe,126,145,629,690
Skoda,Citigo,Maglownica,448,488,135,240
Skoda,Citigo,Sprzęgło dwumasowe,393,415,369,240
Skoda,Citigo,Wtrysk bezpośredni paliwa,249,276,799,660
Skoda,Citigo,Tarcza hamulcowa,98,119,720,610
Skoda,Citigo,Sprężyna przednia,203,251,550,870
Skoda,Citigo,Filtr oleju,68,74,1226,2000
Skoda,Citigo,Chłodnica,1859,2038,16,50
Skoda,Felicia,Wahacz przedni,234,260,375,330
Skoda,Felicia,Amortyzator tylni,444,461,315,790
Skoda,Felicia,Klocki hamulcowe,188,203,489,890
Skoda,Felicia,Maglownica,479,525,256,330
Skoda,Felicia,Sprzęgło dwumasowe,682,709,434,260
Skoda,Felicia,Wtrysk bezpośredni paliwa,170,197,566,930
Skoda,Felicia,Tarcza hamulcowa,82,115,623,800
Skoda,Felicia,Sprężyna przednia,183,211,553,760
Skoda,Felicia,Filtr oleju,45,55,1211,1280
Skoda,Felicia,Chłodnica,1667,1859,49,40
Skoda,Roomster,Wahacz przedni,306,317,272,650
Skoda,Roomster,Amortyzator tylni,461,473,346,670
Skoda,Roomster,Klocki hamulcowe,129,139,611,750
Skoda,Roomster,Maglownica,393,424,227,300
Skoda,Roomster,Sprzęgło dwumasowe,594,632,356,250
Skoda,Roomster,Wtrysk bezpośredni paliwa,242,261,877,1250
Skoda,Roomster,Tarcza hamulcowa,174,202,582,640
Skoda,Roomster,Sprężyna przednia,214,231,609,730
Skoda,Roomster,Filtr oleju,43,55,1343,1330
Skoda,Roomster,Chłodnica,1392,1463,15,50
Skoda,Yeti,Wahacz przedni,597,625,272,260
Skoda,Yeti,Amortyzator tylni,309,327,354,430
Skoda,Yeti,Klocki hamulcowe,83,98,737,1150
Skoda,Yeti,Maglownica,469,497,177,250
Skoda,Yeti,Sprzęgło dwumasowe,303,328,272,250
